algorithm,n,structure,element_type,runs,mean_ms,min_ms,max_ms
merge_sort,1000,almost_sorted,int,20,2.9339,1.9588,5.2893
merge_sort_iterative,1000,almost_sorted,int,20,2.3422,2.0176,3.6184
patience_sort,1000,almost_sorted,int,20,2.8039,1.9175,6.2779
quick_sort,1000,almost_sorted,int,20,1.6267,1.3672,2.6
radix_sort,1000,almost_sorted,int,20,1.4036,1.1971,2.6424
selection_sort,1000,almost_sorted,int,20,27.1825,22.164,39.0205
shell_sort,1000,almost_sorted,int,20,1.7928,1.1517,3.9635
tim_sort,1000,almost_sorted,int,20,0.035,0.0253,0.064
bubble_sort,1000,half_sorted,int,20,48.6202,41.409,64.2832
bucket_sort,1000,half_sorted,int,20,0.5765,0.4923,0.9531
comb_sort,1000,half_sorted,int,20,2.0725,1.7585,4.3839
counting_sort,1000,half_sorted,int,20,2.5151,1.7173,4.9502
heap_sort,1000,half_sorted,int,20,3.9236,2.4956,7.5251
insertion_sort,1000,half_sorted,int,20,23.7901,16.618,39.243
intro_sort,1000,half_sorted,int,20,1.3311,0.8418,2.6125
merge_sort,1000,half_sorted,int,20,2.4404,1.8557,5.7117
merge_sort_iterative,1000,half_sorted,int,20,2.1927,1.8578,3.1355
patience_sort,1000,half_sorted,int,20,1.9207,1.5976,4.417
quick_sort,1000,half_sorted,int,20,1.1971,0.9921,3.3963
radix_sort,1000,half_sorted,int,20,1.5214,1.1712,3.3732
selection_sort,1000,half_sorted,int,20,27.892,23.0409,43.0883
shell_sort,1000,half_sorted,int,20,2.591,1.7495,6.2639
tim_sort,1000,half_sorted,int,20,0.0716,0.0552,0.1013
bubble_sort,1000,flat,int,20,55.1829,43.8901,78.2531
